KN,N,AN
ID,NPC,Dialog
10001,1,40001;40005
10002,1,10001;10006
,,10001;10006
,,10001;10008
,,10001;10009
,,10001;10010
,,10001;10011
,,10001;10012
,,10001;10013
,,10001;10014
,,10001;10015
,,10001;10016
,,10001;10017
,,10001;10018
,,10001;10019
,,10001;10020
,,10001;10021
,,10001;10022
,,10001;10023
,,10001;10024
,,10001;10025
,,10001;10026
,,10001;10027
,,10001;10028
,,10001;10029
,,10001;10030
,,10001;10031
,,10001;10032
,,10001;10033
,,10001;10034
,,10001;10035
,,10001;10036
,,10001;10037
,,10001;10038
,,10001;10039
,,10001;10040
,,10001;10041
,,10001;10042
,,10001;10043
,,10001;10044
,,10001;10045
,,10001;10046
,,10001;10047
,,10001;10048
,,10001;10049
,,10001;10050
,,10001;10051
,,10001;10052
,,10001;10053
,,10001;10054
,,10001;10055
,,10001;10056
,,10001;10057
